year,state,district,crop,season,area_ha,yield_kg_per_ha,production_tonnes,rainfall_mm,max_temp_c,min_temp_c,irrigation_percent,fertilizer_kg_per_ha
1990,Tamil Nadu,Chennai,Rice,Kuruvai,15013.44,3774.35,56666.0,481.3,36.7,23.2,82.5,73.7
1990,Tamil Nadu,Chennai,Rice,Samba,17000.52,4083.7,69425.02,825.9,33.2,22.0,57.5,180.1
1990,Tamil Nadu,Chennai,Rice,Navarai,38117.39,3489.5,133010.6,679.5,33.1,23.1,42.8,179.4
1990,Tamil Nadu,Kanchipuram,Rice,Kuruvai,65246.6,2980.16,194445.03,536.7,34.8,22.1,47.3,159.1
1990,Tamil Nadu,Kanchipuram,Rice,Samba,54014.22,3725.27,201217.64,1128.1,33.5,20.3,98.2,209.5
1990,Tamil Nadu,Kanchipuram,Rice,Navarai,73984.32,3010.34,222717.86,674.4,28.5,21.3,63.3,118.8
1990,Tamil Nadu,Chengalpattu,Rice,Kuruvai,13851.17,4575.17,63371.4,504.4,37.9,24.4,51.9,71.0
1990,Tamil Nadu,Chengalpattu,Rice,Samba,62387.82,4931.88,307689.11,901.9,29.2,25.0,77.4,129.6
1990,Tamil Nadu,Chengalpattu,Rice,Navarai,59179.68,4243.62,251135.81,1642.1,32.7,19.8,82.8,206.9
1990,Tamil Nadu,Thiruvallur,Rice,Kuruvai,35920.66,3988.34,143263.89,551.0,28.3,23.5,58.9,161.5
1990,Tamil Nadu,Thiruvallur,Rice,Samba,61177.44,4160.73,254542.63,507.8,30.9,20.1,95.8,215.5
1990,Tamil Nadu,Thiruvallur,Rice,Navarai,17365.89,4158.22,72211.16,1155.1,36.1,25.3,59.1,89.8
1990,Tamil Nadu,Cuddalore,Rice,Kuruvai,3535.31,3335.27,11791.22,984.4,30.2,19.8,60.3,239.7
1990,Tamil Nadu,Cuddalore,Rice,Samba,30999.48,3900.53,120914.42,1747.4,30.5,22.5,58.1,121.3
1990,Tamil Nadu,Cuddalore,Rice,Navarai,6963.86,3127.28,21777.94,1671.6,30.4,20.0,69.4,247.4
1990,Tamil Nadu,Viluppuram,Rice,Kuruvai,59072.66,3440.87,203261.05,1285.2,34.3,22.8,45.4,220.4
